design,width,loc,n_inputs,n_outputs,max_width,n_assign,n_always,n_case,is_sequential,n_operators,width_x_ops,cell_count,logic_depth
adder2,2,11,3,2,2,1,0,0,0,5,10,10,5
adder4,4,11,3,2,4,1,0,0,0,5,20,20,9
adder8,8,11,3,2,8,1,0,0,0,5,40,42,17
adder16,16,11,3,2,16,1,0,0,0,5,80,84,33
adder32,32,11,3,2,32,1,0,0,0,5,160,173,65
adder64,64,11,3,2,64,1,0,0,0,5,320,363,128
comparator2,2,13,2,3,2,3,0,0,0,5,10,8,3
comparator4,4,13,2,3,4,3,0,0,0,5,20,20,5
comparator8,8,13,2,3,8,3,0,0,0,5,40,41,8
comparator16,16,13,2,3,16,3,0,0,0,5,80,83,10
comparator32,32,13,2,3,32,3,0,0,0,5,160,171,13
comparator64,64,13,2,3,64,3,0,0,0,5,320,337,18
alu2,2,24,3,2,2,1,1,1,0,12,24,42,8
alu4,4,24,3,2,4,1,1,1,0,12,48,94,13
alu8,8,24,3,2,8,1,1,1,0,12,96,187,21
alu16,16,24,3,2,16,1,1,1,0,12,192,386,37
alu32,32,24,3,2,32,1,1,1,0,12,384,770,69
alu64,64,24,3,2,64,1,1,1,0,12,768,1549,133
counter2,2,12,2,1,2,0,1,0,1,2,4,4,3
counter4,4,12,2,1,4,0,1,0,1,2,8,10,7
counter8,8,12,2,1,8,0,1,0,1,2,16,22,21
counter16,16,12,2,1,16,0,1,0,1,2,32,46,45
counter32,32,12,2,1,32,0,1,0,1,2,64,94,93
counter64,64,12,2,1,64,0,1,0,1,2,128,190,189
shift_reg2,2,13,3,1,2,0,1,0,1,2,4,2,2
shift_reg4,4,13,3,1,4,0,1,0,1,2,8,4,4
shift_reg8,8,13,3,1,8,0,1,0,1,2,16,8,8
shift_reg16,16,13,3,1,16,0,1,0,1,2,32,16,16
shift_reg32,32,13,3,1,32,0,1,0,1,2,64,32,32
shift_reg64,64,13,3,1,64,0,1,0,1,2,128,64,64
